2121,3000
2122,3001
2123,3002
2124,30FB
2125,02C9
2126,02C7
2127,00A8
2128,3003
2129,3005
212A,2015
212B,FF5E
212C,2016
212D,2026
212E,2018
212F,2019
2130,201C
2131,201D
2132,3014
2133,3015
2134,3008
2135,3009
2136,300A
2137,300B
2138,300C
2139,300D
213A,300E
213B,300F
213C,3016
213D,3017
213E,3010
213F,3011
2140,00B1
2141,00D7
2142,00F7
2143,2236
2144,2227
2145,2228
2146,2211
2147,220F
2148,222A
2149,2229
214A,2208
214B,2237
214C,221A
214D,22A5
214E,2225
214F,2220
2150,2312
2151,2299
2152,222B
2153,222E
2154,2261
2155,224C
2156,2248
2157,223D
2158,221D
2159,2260
215A,226E
215B,226F
215C,2264
215D,2265
215E,221E
215F,2235
2160,2234
2161,2642
2162,2640
2163,00B0
2164,2032
2165,2033
2166,2103
2167,FF04
2168,00A4
2169,FFE0
216A,FFE1
216B,2030
216C,00A7
216D,2116
216E,2606
216F,2605
2170,25CB
2171,25CF
2172,25CE
2173,25C7
2174,25C6
2175,25A1
2176,25A0
2177,25B3
2178,25B2
2179,203B
217A,2192
217B,2190
217C,2191
217D,2193
217E,3013
2231,2488
2232,2489
2233,248A
2234,248B
2235,248C
2236,248D
2237,248E
2238,248F
2239,2490
223A,2491
223B,2492
223C,2493
223D,2494
223E,2495
223F,2496
2240,2497
2241,2498
2242,2499
2243,249A
2244,249B
2245,2474
2246,2475
2247,2476
2248,2477
2249,2478
224A,2479
224B,247A
224C,247B
224D,247C
224E,247D
224F,247E
2250,247F
2251,2480
2252,2481
2253,2482
2254,2483
2255,2484
2256,2485
2257,2486
2258,2487
2259,2460
225A,2461
225B,2462
225C,2463
225D,2464
225E,2465
225F,2466
2260,2467
2261,2468
2262,2469
2265,3220
2266,3221
2267,3222
2268,3223
2269,3224
226A,3225
226B,3226
226C,3227
226D,3228
226E,3229
2271,2160
2272,2161
2273,2162
2274,2163
2275,2164
2276,2165
2277,2166
2278,2167
2279,2168
227A,2169
227B,216A
227C,216B
2321,FF01
2322,FF02
2323,FF03
2324,FFE5
2325,FF05
2326,FF06
2327,FF07
2328,FF08
2329,FF09
232A,FF0A
232B,FF0B
232C,FF0C
232D,FF0D
232E,FF0E
232F,FF0F
2330,FF10
2331,FF11
2332,FF12
2333,FF13
2334,FF14
2335,FF15
2336,FF16
2337,FF17
2338,FF18
2339,FF19
233A,FF1A
233B,FF1B
233C,FF1C
233D,FF1D
233E,FF1E
233F,FF1F
2340,FF20
2341,FF21
2342,FF22
2343,FF23
2344,FF24
2345,FF25
2346,FF26
2347,FF27
2348,FF28
2349,FF29
234A,FF2A
234B,FF2B
234C,FF2C
234D,FF2D
234E,FF2E
234F,FF2F
2350,FF30
2351,FF31
2352,FF32
2353,FF33
2354,FF34
2355,FF35
2356,FF36
2357,FF37
2358,FF38
2359,FF39
235A,FF3A
235B,FF3B
235C,FF3C
235D,FF3D
235E,FF3E
235F,FF3F
2360,FF40
2361,FF41
2362,FF42
2363,FF43
2364,FF44
2365,FF45
2366,FF46
2367,FF47
2368,FF48
2369,FF49
236A,FF4A
236B,FF4B
236C,FF4C
236D,FF4D
236E,FF4E
236F,FF4F
2370,FF50
2371,FF51
2372,FF52
2373,FF53
2374,FF54
2375,FF55
2376,FF56
2377,FF57
2378,FF58
2379,FF59
237A,FF5A
237B,FF5B
237C,FF5C
237D,FF5D
237E,FFE3
2421,3041
2422,3042
2423,3043
2424,3044
2425,3045
2426,3046
2427,3047
2428,3048
2429,3049
242A,304A
242B,304B
242C,304C
242D,304D
242E,304E
242F,304F
2430,3050
2431,3051
2432,3052
2433,3053
2434,3054
2435,3055
2436,3056
2437,3057
2438,3058
2439,3059
243A,305A
243B,305B
243C,305C
243D,305D
243E,305E
243F,305F
2440,3060
2441,3061
2442,3062
2443,3063
2444,3064
2445,3065
2446,3066
2447,3067
2448,3068
2449,3069
244A,306A
244B,306B
244C,306C
244D,306D
244E,306E
244F,306F
2450,3070
2451,3071
2452,3072
2453,3073
2454,3074
2455,3075
2456,3076
2457,3077
2458,3078
2459,3079
245A,307A
245B,307B
245C,307C
245D,307D
245E,307E
245F,307F
2460,3080
2461,3081
2462,3082
2463,3083
2464,3084
2465,3085
2466,3086
2467,3087
2468,3088
2469,3089
246A,308A
246B,308B
246C,308C
246D,308D
246E,308E
246F,308F
2470,3090
2471,3091
2472,3092
2473,3093
2521,30A1
2522,30A2
2523,30A3
2524,30A4
2525,30A5
2526,30A6
2527,30A7
2528,30A8
2529,30A9
252A,30AA
252B,30AB
252C,30AC
252D,30AD
252E,30AE
252F,30AF
2530,30B0
2531,30B1
2532,30B2
2533,30B3
2534,30B4
2535,30B5
2536,30B6
2537,30B7
2538,30B8
2539,30B9
253A,30BA
253B,30BB
253C,30BC
253D,30BD
253E,30BE
253F,30BF
2540,30C0
2541,30C1
2542,30C2
2543,30C3
2544,30C4
2545,30C5
2546,30C6
2547,30C7
2548,30C8
2549,30C9
254A,30CA
254B,30CB
254C,30CC
254D,30CD
254E,30CE
254F,30CF
2550,30D0
2551,30D1
2552,30D2
2553,30D3
2554,30D4
2555,30D5
2556,30D6
2557,30D7
2558,30D8
2559,30D9
255A,30DA
255B,30DB
255C,30DC
255D,30DD
255E,30DE
255F,30DF
2560,30E0
2561,30E1
2562,30E2
2563,30E3
2564,30E4
2565,30E5
2566,30E6
2567,30E7
2568,30E8
2569,30E9
256A,30EA
256B,30EB
256C,30EC
256D,30ED
256E,30EE
256F,30EF
2570,30F0
2571,30F1
2572,30F2
2573,30F3
2574,30F4
2575,30F5
2576,30F6
2621,0391
2622,0392
2623,0393
2624,0394
2625,0395
2626,0396
2627,0397
2628,0398
2629,0399
262A,039A
262B,039B
262C,039C
262D,039D
262E,039E
262F,039F
2630,03A0
2631,03A1
2632,03A3
2633,03A4
2634,03A5
2635,03A6
2636,03A7
